Name,Time in,"Time/Date
Out",Whole Body Dose,Time In
employee_17,24/07/2032 01:14,24/07/2032 08:43,0.018,24/07/2032 01:14
employee_22,05/08/2032 00:54,05/08/2032 08:58,0.018,05/08/2032 00:54
employee_26,04/09/2032 01:10,04/09/2032 08:55,0.018,04/09/2032 01:10
employee_3,12/09/2032 11:17,12/09/2032 13:38,0.018,12/09/2032 11:17
employee_13,24/07/2032 01:13,24/07/2032 08:46,0.019,24/07/2032 01:13
employee_4,10/09/2032 00:55,10/09/2032 09:11,0.019,10/09/2032 00:55
employee_23,27/08/2032 11:33,27/08/2032 18:40,0.02,27/08/2032 11:33
employee_8,08/09/2032 11:23,08/09/2032 18:26,0.02,08/09/2032 11:23
employee_7,11/09/2032 00:34,11/09/2032 09:08,0.02,11/09/2032 00:34
employee_26,30/07/2032 01:31,30/07/2032 08:42,0.021,30/07/2032 01:31
employee_1,12/08/2032 00:28,12/08/2032 08:47,0.021,12/08/2032 00:28
employee_22,04/09/2032 11:17,04/09/2032 19:09,0.021,04/09/2032 11:17
employee_26,08/09/2032 11:24,08/09/2032 18:28,0.021,08/09/2032 11:24
employee_11,05/08/2032 00:54,05/08/2032 08:59,0.022,05/08/2032 00:54
employee_8,26/08/2032 11:30,26/08/2032 18:51,0.022,26/08/2032 11:30
employee_19,11/09/2032 00:40,11/09/2032 09:07,0.022,11/09/2032 00:40
employee_22,25/07/2032 00:43,25/07/2032 08:36,0.023,25/07/2032 00:43
employee_6,11/09/2032 10:35,11/09/2032 16:30,0.023,11/09/2032 10:35
employee_8,12/09/2032 11:10,12/09/2032 14:01,0.023,12/09/2032 11:10
employee_17,30/07/2032 11:11,30/07/2032 17:35,0.024,30/07/2032 11:11
employee_25,12/09/2032 11:18,12/09/2032 13:39,0.024,12/09/2032 11:18
employee_12,30/07/2032 01:33,30/07/2032 08:43,0.025,30/07/2032 01:33
employee_17,04/08/2032 11:19,04/08/2032 18:31,0.025,04/08/2032 11:19
employee_4,09/09/2032 01:21,09/09/2032 08:59,0.025,09/09/2032 01:21
employee_21,09/09/2032 11:17,09/09/2032 17:38,0.025,09/09/2032 11:17
employee_25,18/09/2032 00:35,18/09/2032 08:48,0.025,18/09/2032 00:35
employee_8,09/09/2032 11:17,09/09/2032 17:37,0.026,09/09/2032 11:17
employee_19,10/09/2032 00:53,10/09/2032 09:13,0.026,10/09/2032 00:53
employee_11,06/08/2032 00:36,06/08/2032 08:52,0.027,06/08/2032 00:36
employee_5,26/08/2032 11:29,26/08/2032 18:51,0.027,26/08/2032 11:29
employee_3,11/09/2032 10:34,11/09/2032 16:22,0.027,11/09/2032 10:34
employee_1,27/08/2032 11:32,27/08/2032 18:39,0.028,27/08/2032 11:32
employee_8,10/09/2032 11:15,10/09/2032 18:14,0.028,10/09/2032 11:15
employee_11,23/07/2032 01:00,23/07/2032 08:44,0.029,23/07/2032 01:00
employee_17,23/07/2032 01:05,23/07/2032 08:43,0.029,23/07/2032 01:05
employee_8,23/07/2032 11:03,23/07/2032 17:07,0.029,23/07/2032 11:03
employee_25,11/09/2032 10:34,11/09/2032 16:22,0.029,11/09/2032 10:34
employee_26a,17/07/2032 00:52,17/07/2032 08:50,0.038,17/07/2032 00:52
employee_21,23/07/2032 11:02,23/07/2032 17:07,0.03,23/07/2032 11:02
employee_13,23/07/2032 01:00,23/07/2032 08:41,0.031,23/07/2032 01:00
employee_22,06/08/2032 00:36,06/08/2032 08:53,0.031,06/08/2032 00:36
employee_1,11/09/2032 00:33,11/09/2032 09:08,0.034,11/09/2032 00:33
employee_11,01/09/2032 11:51,01/09/2032 19:23,0.037,01/09/2032 11:51
employee_26,17/07/2032 00:52,17/07/2032 08:50,0.038,17/07/2032 00:52
employee_11,03/09/2032 10:58,03/09/2032 18:41,0.038,03/09/2032 10:58
employee_8,24/07/2032 10:59,24/07/2032 19:02,0.039,24/07/2032 10:59
employee_22,01/09/2032 11:50,01/09/2032 19:25,0.04,01/09/2032 11:50
employee_10,30/07/2032 11:15,30/07/2032 18:25,0.042,30/07/2032 11:15
employee_21,24/07/2032 10:59,24/07/2032 19:02,0.043,24/07/2032 10:59
employee_19,17/07/2032 00:50,17/07/2032 08:49,0.044,17/07/2032 00:50
employee_22,03/09/2032 10:58,03/09/2032 18:41,0.046,03/09/2032 10:58
