Name;Date;Value
AIR_0123_945_07_DPT;15/09/2022 13:25:02;51.0372
AIR_0123_945_07_DPT;15/09/2022 13:25:04;76.47371
AIR_0123_945_07_DPT;15/09/2022 13:25:06;98.78035
AIR_0123_945_07_DPT;15/09/2022 13:25:08;105.9724
AIR_0123_945_07_DPT;15/09/2022 13:25:10;109.0123
AIR_0123_945_07_DPT;15/09/2022 13:25:12;110.0096
AIR_0123_945_07_DPT;15/09/2022 13:25:14;110.578
AIR_0123_945_07_DPT;15/09/2022 13:25:16;110.9534
AIR_0123_945_07_DPT;15/09/2022 13:25:18;111.2
AIR_0123_945_07_DPT;15/09/2022 13:25:20;111.3749
AIR_0123_945_07_DPT;15/09/2022 13:25:22;112.5985
AIR_0123_945_07_DPT;15/09/2022 13:25:24;88.74158
AIR_0123_945_07_DPT;15/09/2022 13:25:26;53.8506
AIR_0123_945_07_DPT;15/09/2022 13:25:28;33.24736
AIR_0123_945_07_DPT;15/09/2022 13:25:30;20.50137
AIR_0123_945_07_DPT;15/09/2022 13:25:32;15.82323
AIR_0123_945_07_DPT;15/09/2022 13:25:34;79.97254
AIR_0123_945_07_DPT;15/09/2022 13:25:36;100.1744
AIR_0123_945_07_DPT;15/09/2022 13:25:38;106.4013
AIR_0123_945_07_DPT;15/09/2022 13:25:40;108.8172
AIR_0123_945_07_DPT;15/09/2022 13:25:42;109.7797
AIR_0123_945_07_DPT;15/09/2022 13:25:44;110.3222
AIR_0123_945_07_DPT;15/09/2022 13:25:46;110.4551
AIR_0123_945_07_DPT;15/09/2022 13:25:48;110.6902
AIR_0123_945_07_DPT;15/09/2022 13:25:50;110.7773
AIR_0123_945_07_DPT;15/09/2022 13:25:52;110.8456
AIR_0123_945_07_DPT;15/09/2022 13:25:54;76.32208
AIR_0123_945_07_DPT;15/09/2022 13:25:56;45.91181
AIR_0123_945_07_DPT;15/09/2022 13:25:58;28.40601
AIR_0123_945_07_DPT;15/09/2022 13:26:00;17.36574
AIR_0123_945_07_DPT;15/09/2022 13:26:02;11.51268
AIR_0123_945_07_DPT;15/09/2022 13:26:04;76.26611
AIR_0123_945_07_DPT;15/09/2022 13:26:06;99.42937
AIR_0123_945_07_DPT;15/09/2022 13:26:08;106.483
AIR_0123_945_07_DPT;15/09/2022 13:26:10;109.061
AIR_0123_945_07_DPT;15/09/2022 13:26:12;110.3236
AIR_0123_945_07_DPT;15/09/2022 13:26:14;110.8296
AIR_0123_945_07_DPT;15/09/2022 13:26:16;111.1043
AIR_0123_945_07_DPT;15/09/2022 13:26:18;111.1605
AIR_0123_945_07_DPT;15/09/2022 13:26:20;111.2542
AIR_0123_945_07_DPT;15/09/2022 13:26:22;112.7719
AIR_0123_945_07_DPT;15/09/2022 13:26:24;90.30936
AIR_0123_945_07_DPT;15/09/2022 13:26:26;54.69638
AIR_0123_945_07_DPT;15/09/2022 13:26:28;33.64081
AIR_0123_945_07_DPT;15/09/2022 13:26:30;21.14276
AIR_0123_945_07_DPT;15/09/2022 13:26:32;17.19385
AIR_0123_945_07_DPT;15/09/2022 13:26:34;79.10549
AIR_0123_945_07_DPT;15/09/2022 13:26:36;99.64826
AIR_0123_945_07_DPT;15/09/2022 13:26:38;106.1216
AIR_0123_945_07_DPT;15/09/2022 13:26:40;108.6952
AIR_0123_945_07_DPT;15/09/2022 13:26:42;109.6564
AIR_0123_945_07_DPT;15/09/2022 13:26:44;110.1732
AIR_0123_945_07_DPT;15/09/2022 13:26:46;110.4296
AIR_0123_945_07_DPT;15/09/2022 13:26:48;110.4387
AIR_0123_945_07_DPT;15/09/2022 13:26:50;111.5672
AIR_0123_945_07_DPT;15/09/2022 13:26:52;98.39978
AIR_0123_945_07_DPT;15/09/2022 13:26:54;59.92135
AIR_0123_945_07_DPT;15/09/2022 13:26:56;37.00005
AIR_0123_945_07_DPT;15/09/2022 13:26:58;22.48488
AIR_0123_945_07_DPT;15/09/2022 13:27:00;14.10493
AIR_0123_945_07_DPT;15/09/2022 13:27:02;53.8129
AIR_0123_945_07_DPT;15/09/2022 13:27:04;91.77884
AIR_0123_945_07_DPT;15/09/2022 13:27:06;104.2271
AIR_0123_945_07_DPT;15/09/2022 13:27:08;106.5888
AIR_0123_945_07_DPT;15/09/2022 13:27:10;109.8571
AIR_0123_945_07_DPT;15/09/2022 13:27:12;110.6075
AIR_0123_945_07_DPT;15/09/2022 13:27:14;110.8921
AIR_0123_945_07_DPT;15/09/2022 13:27:16;111.1027
AIR_0123_945_07_DPT;15/09/2022 13:27:18;111.3597
AIR_0123_945_07_DPT;15/09/2022 13:27:20;111.7657
AIR_0123_945_07_DPT;15/09/2022 13:27:22;109.4566
AIR_0123_945_07_DPT;15/09/2022 13:27:24;69.05679
AIR_0123_945_07_DPT;15/09/2022 13:27:26;43.03895
AIR_0123_945_07_DPT;15/09/2022 13:27:28;26.54055
AIR_0123_945_07_DPT;15/09/2022 13:27:30;16.61152
AIR_0123_945_07_DPT;15/09/2022 13:27:32;61.29979
AIR_0123_945_07_DPT;15/09/2022 13:27:34;93.5689
AIR_0123_945_07_DPT;15/09/2022 13:27:36;104.102
AIR_0123_945_07_DPT;15/09/2022 13:27:38;107.9735
AIR_0123_945_07_DPT;15/09/2022 13:27:40;109.176
AIR_0123_945_07_DPT;15/09/2022 13:27:42;109.859
AIR_0123_945_07_DPT;15/09/2022 13:27:44;110.286
AIR_0123_945_07_DPT;15/09/2022 13:27:46;110.5515
AIR_0123_945_07_DPT;15/09/2022 13:27:48;110.6511
AIR_0123_945_07_DPT;15/09/2022 13:27:50;111.2675
AIR_0123_945_07_DPT;15/09/2022 13:27:52;104.2907
AIR_0123_945_07_DPT;15/09/2022 13:27:54;63.30013
AIR_0123_945_07_DPT;15/09/2022 13:27:56;39.18911
AIR_0123_945_07_DPT;15/09/2022 13:27:58;23.72847
AIR_0123_945_07_DPT;15/09/2022 13:28:00;15.27575
AIR_0123_945_07_DPT;15/09/2022 13:28:02;45.34334
AIR_0123_945_07_DPT;15/09/2022 13:28:04;90.05977
